t,m_req,redundancy
0.43000000,5,10.00000000
0.43200000,5,10.00000000
0.43400000,5,10.00000000
0.43600000,5,10.00000000
0.43800000,5,10.00000000
0.44000000,5,10.00000000
0.44200000,5,10.00000000
0.44400000,5,10.00000000
0.44600000,5,10.00000000
0.44800000,5,10.00000000
0.45000000,5,10.00000000
0.45200000,5,10.00000000
0.45400000,5,10.00000000
0.45600000,5,10.00000000
0.45800000,5,10.00000000
0.46000000,4,12.50000000
0.46200000,4,12.50000000
0.46400000,4,12.50000000
0.46600000,4,12.50000000
0.46800000,4,12.50000000
0.47000000,4,12.50000000
0.47200000,4,12.50000000
0.47400000,4,12.50000000
0.47600000,4,12.50000000
0.47800000,4,12.50000000
0.48000000,4,12.50000000
0.48200000,4,12.50000000
0.48400000,4,12.50000000
0.48600000,4,12.50000000
0.48800000,4,12.50000000
0.49000000,4,12.50000000
0.49200000,4,12.50000000
0.49400000,4,12.50000000
0.49600000,4,12.50000000
0.49800000,4,12.50000000
0.50000000,4,12.50000000
0.50200000,4,12.50000000
0.50400000,4,12.50000000
0.50600000,4,12.50000000
0.50800000,3,16.66666667
0.51000000,3,16.66666667
0.51200000,3,16.66666667
0.51400000,3,16.66666667
0.51600000,3,16.66666667
0.51800000,3,16.66666667
0.52000000,3,16.66666667
0.52200000,3,16.66666667
0.52400000,3,16.66666667
0.52600000,3,16.66666667
0.52800000,3,16.66666667
0.53000000,3,16.66666667
0.53200000,3,16.66666667
0.53400000,3,16.66666667
0.53600000,3,16.66666667
0.53800000,3,16.66666667
0.54000000,3,16.66666667
0.54200000,3,16.66666667
0.54400000,3,16.66666667
0.54600000,3,16.66666667
0.54800000,3,16.66666667
0.55000000,3,16.66666667
0.55200000,3,16.66666667
0.55400000,3,16.66666667
0.55600000,3,16.66666667
0.55800000,3,16.66666667
0.56000000,3,16.66666667
0.56200000,3,16.66666667
0.56400000,3,16.66666667
0.56600000,3,16.66666667
0.56800000,3,16.66666667
0.57000000,3,16.66666667
0.57200000,2,25.00000000
0.57400000,2,25.00000000
0.57600000,2,25.00000000
0.57800000,2,25.00000000
0.58000000,2,25.00000000
0.58200000,2,25.00000000
0.58400000,2,25.00000000
0.58600000,2,25.00000000
0.58800000,2,25.00000000
0.59000000,2,25.00000000
0.59200000,2,25.00000000
0.59400000,2,25.00000000
0.59600000,2,25.00000000
0.59800000,2,25.00000000
0.60000000,2,25.00000000
0.60200000,2,25.00000000
0.60400000,2,25.00000000
0.60600000,2,25.00000000
0.60800000,2,25.00000000
0.61000000,2,25.00000000
0.61200000,2,25.00000000
0.61400000,2,25.00000000
0.61600000,2,25.00000000
0.61800000,2,25.00000000
0.62000000,2,25.00000000
0.62200000,2,25.00000000
0.62400000,2,25.00000000
0.62600000,2,25.00000000
0.62800000,2,25.00000000
0.63000000,2,25.00000000
0.63200000,2,25.00000000
0.63400000,2,25.00000000
0.63600000,2,25.00000000
0.63800000,2,25.00000000
0.64000000,2,25.00000000
0.64200000,1,50.00000000
0.64400000,1,50.00000000
0.64600000,1,50.00000000
0.64800000,1,50.00000000
0.65000000,1,50.00000000
0.65200000,1,50.00000000
0.65400000,1,50.00000000
0.65600000,1,50.00000000
0.65800000,1,50.00000000
0.66000000,1,50.00000000
0.66200000,1,50.00000000
0.66400000,1,50.00000000
0.66600000,1,50.00000000
0.66800000,1,50.00000000
0.67000000,1,50.00000000
0.67200000,1,50.00000000
0.67400000,1,50.00000000
0.67600000,1,50.00000000
0.67800000,1,50.00000000
0.68000000,1,50.00000000
0.68200000,1,50.00000000
0.68400000,1,50.00000000
0.68600000,1,50.00000000
0.68800000,1,50.00000000
0.69000000,1,50.00000000
0.69200000,1,50.00000000
0.69400000,1,50.00000000
0.69600000,1,50.00000000
0.69800000,1,50.00000000
0.70000000,1,50.00000000
0.70200000,1,50.00000000
0.70400000,1,50.00000000
0.70600000,1,50.00000000
0.70800000,1,50.00000000
0.71000000,1,50.00000000
0.71200000,1,50.00000000
0.71400000,1,50.00000000
0.71600000,1,50.00000000
0.71800000,1,50.00000000
0.72000000,1,50.00000000
0.72200000,1,50.00000000
0.72400000,1,50.00000000
0.72600000,1,50.00000000
0.72800000,1,50.00000000
0.73000000,1,50.00000000
0.73200000,1,50.00000000
0.73400000,1,50.00000000
0.73600000,1,50.00000000
0.73800000,1,50.00000000
0.74000000,1,50.00000000
0.74200000,1,50.00000000
0.74400000,1,50.00000000
0.74600000,1,50.00000000
0.74800000,1,50.00000000
0.75000000,1,50.00000000
0.75200000,1,50.00000000
0.75400000,1,50.00000000
0.75600000,1,50.00000000
0.75800000,1,50.00000000
0.76000000,1,50.00000000
0.76200000,1,50.00000000
0.76400000,1,50.00000000
0.76600000,1,50.00000000
0.76800000,1,50.00000000
0.77000000,1,50.00000000
0.77200000,1,50.00000000
0.77400000,1,50.00000000
