agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,switches_mean
Network-Full,structured,0.5,50,72.25872236438121,30.526086667706885,0.33093298450694647,0.4725115289006732,71.92778937987427,30.5664700840333,1.75322,0.022198814088567352,70.17456937987427,30.56370891408298,14.44,0.0
Network-Full,structured,0.5,200,62.98712294456986,24.495898846988478,0.983434682827218,2.4715419652741457,62.003688261742646,24.925964001063875,1.7475399999999999,0.01803761376136211,60.256148261742645,24.92679392604389,10.16,0.0
Network-Full,structured,0.75,50,65.88933366495782,35.24738932557441,0.7501122714416136,1.4753828637854975,65.13922139351621,35.548582800121245,1.75056,0.02162496667450539,63.3886613935162,35.54526740817227,12.6,0.0
Network-Full,structured,0.75,200,62.3503197408879,28.07844980457192,0.4433883436584509,0.632531789091968,61.90693139722944,28.104904220943105,1.74376,0.022102322345428378,60.16317139722944,28.106885753398,8.66,0.0
Network-Full,structured,1.0,50,68.36111291759214,33.849779766436846,0.6849101709919084,1.239214441151494,67.67620274660023,33.793044429171516,1.7480799999999999,0.024234264829714403,65.92812274660022,33.790714940975825,13.2,0.0
Network-Full,structured,1.0,200,64.23462013196506,25.95036330521117,0.565288504345205,0.5950762345705267,63.66933162761985,26.05092906247853,1.75816,0.016013208833424258,61.91117162761985,26.048107065860048,8.86,0.0
Network-NoTest,structured,0.0,50,83.11614266794315,33.07783575101879,0.0,0.0,83.11614266794315,33.07783575101879,1.7490999999999999,0.023358999489337243,81.36704266794315,33.08130878596768,0.0,0.0
Network-NoTest,structured,0.0,200,83.64372608103017,29.00656775422925,0.0,0.0,83.64372608103017,29.00656775422925,1.7497,0.022138939745643234,81.89402608103016,29.006440165392863,0.0,0.0
Network-NoTest,structured,0.25,50,76.1321751382497,31.903776937449386,1.9051359927479183,6.213731976781031,74.22703914550179,31.13494074737235,1.7447,0.03126336448918562,72.4823391455018,31.134999416933134,19.08,0.0
Network-NoTest,structured,0.25,200,59.829392866977734,29.31114475726883,1.0106941689822424,1.996021204966745,58.818698697995494,28.72091697928721,1.74574,0.01872116558380713,57.07295869799549,28.72181022521241,6.76,0.0
Network-NoTest,structured,0.5,50,67.18338523124652,31.647795482933134,0.38225581560018523,0.5263394885304534,66.80112941564633,31.76984652894016,1.7525,0.021923103087373205,65.04862941564633,31.769262906851903,12.9,0.0
Network-NoTest,structured,0.5,200,62.57216524203211,25.750153333342695,0.3775735976165007,0.6679945750968779,62.19459164441562,25.566360566885947,1.74844,0.021770753645331476,60.446151644415615,25.56551278019841,9.0,0.0
Network-NoTest,structured,0.75,50,66.1418617296652,33.871195615296465,0.5228253872055649,1.345853952138106,65.61903634245962,34.17625167658363,1.7483600000000001,0.024155753106936323,63.87067634245963,34.174601242435024,10.72,0.0
Network-NoTest,structured,0.75,200,64.0364729806033,28.57374160321709,0.6713627709892366,1.7592242980088773,63.365110209614066,28.520193843867386,1.75546,0.022225385375782333,61.60965020961407,28.52066119383852,8.5,0.0
Network-NoTest,structured,1.0,50,67.42232652152555,34.518315863359454,0.6103534871880538,0.8205668519143791,66.8119730343375,34.33074041503208,1.7485399999999998,0.02087397559505268,65.06343303433749,34.32280799080184,11.5,0.0
Network-NoTest,structured,1.0,200,62.24771085337166,26.912867149413582,0.6221513114398082,0.7912737706307051,61.62555954193185,27.02644239200003,1.7525799999999998,0.018263479785559776,59.872979541931855,27.02561972477708,8.46,0.0
Network-NoUpdate,structured,0.0,50,87.0186535267624,28.564038825877695,0.0,0.0,87.0186535267624,28.564038825877695,1.74646,0.026590016539893995,85.27219352676241,28.56836988322506,0.0,0.0
Network-NoUpdate,structured,0.0,200,85.56642669943541,29.017133777045192,0.0,0.0,85.56642669943541,29.017133777045192,1.7506,0.020651629376840164,83.81582669943542,29.022301971025648,0.0,0.0
Network-NoUpdate,structured,0.25,50,81.3050624069148,27.639048598532945,1.041424984670078,1.9866634276429627,80.26363742224471,27.956250614661723,1.7465000000000002,0.02854659635167213,78.51713742224472,27.952937493702777,20.12,0.0
