seed,agent,K,F,T,stakes,structure,total_reward,total_penalty,utility,cognitive_cost,cost_adjusted_utility,dual_picks,dual_rate,dual_rate_cond,E_abs_mean,expansions,contractions,revisions,contract_evals,steps_factor,steps_tabular
0,Thompson-Factor,50,5,300,1.0,recovery,126.13192557753506,1048.9049338845452,-922.7730083070102,4.65,-927.4230083070102,0.0,0.0,0.0,75.90327555362731,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-Full,50,5,300,1.0,recovery,86.87799738037573,0.022636716621094254,86.85536066375464,6.0840000000000005,80.77136066375463,27.0,0.09,0.16463414634146342,0.6065029037040038,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-NoContract,50,5,300,1.0,recovery,248.17973727632943,2.377129066563088,245.80260820976633,6.138,239.66460820976633,12.0,0.04,0.05472636815920398,0.8451013092817979,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-NoTest,50,5,300,1.0,recovery,85.79771255570836,0.3339382197303511,85.463774335978,6.102,79.361774335978,31.0,0.10333333333333333,0.18674698795180722,0.6604497262613378,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-NoUpdate,50,5,300,1.0,recovery,234.64066371442198,0.7618272257420361,233.87883648867995,6.12,227.75883648867995,15.0,0.05,0.08670520231213873,0.5891833696674187,0.0,0.0,0.0,0.0,300.0,0.0
0,UCB1,50,5,300,1.0,recovery,297.40664169289516,341.6362731163608,-44.22963142346566,15.05,-59.27963142346566,1.0,0.0033333333333333335,0.003389830508474576,16.744705017444822,0.0,0.0,0.0,0.0,0.0,0.0
0,HierBayes,50,5,300,1.0,recovery,276.81829304569834,907.6707576047398,-630.8524645590414,7.15,-638.0024645590414,5.0,0.016666666666666666,0.016835016835016835,15.682457336748321,0.0,0.0,0.0,0.0,300.0,0.0
0,RW-Feature,50,5,300,1.0,recovery,183.77696911123485,31031.36825687307,-30847.591287761836,4.415,-30852.006287761837,0.0,0.0,0.0,85.1792001020805,0.0,0.0,0.0,0.0,300.0,0.0
0,LatentFactorEM,50,5,300,1.0,recovery,186.6034044602368,7045.937079460719,-6859.333675000483,95.05,-6954.383675000483,0.0,0.0,0.0,31.95667972987431,0.0,0.0,0.0,0.0,300.0,0.0
0,Dot,200,5,300,0.0,recovery,52.032216302105134,0.0,52.032216302105134,0.31,51.72221630210513,0.0,0.0,0.0,9.490975736072963,0.0,0.0,0.0,0.0,0.0,0.0
0,Linear,200,5,300,0.0,recovery,316.9953820475612,0.0,316.9953820475612,63.112,253.88338204756118,0.0,0.0,0.0,188.43958494625812,0.0,0.0,0.0,0.0,0.0,0.0
0,Thompson-Factor,200,5,300,0.0,recovery,201.1135387385962,0.0,201.1135387385962,4.65,196.46353873859618,0.0,0.0,0.0,170.13055211462682,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-Full,200,5,300,0.0,recovery,12.17440432270519,0.0,12.17440432270519,6.102,6.072404322705189,0.0,0.0,0.0,21.113427917343046,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-NoContract,200,5,300,0.0,recovery,211.08629871299178,0.0,211.08629871299178,97.912,113.17429871299177,0.0,0.0,0.0,77.25980399492458,1.0,0.0,1.0,0.0,97.0,203.0
0,Network-NoTest,200,5,300,0.0,recovery,173.62517464919188,0.0,173.62517464919188,6.12,167.50517464919187,0.0,0.0,0.0,155.5219630467791,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-NoUpdate,200,5,300,0.0,recovery,203.81926995700496,0.0,203.81926995700496,6.1290000000000004,197.69026995700497,0.0,0.0,0.0,175.96236906872318,0.0,0.0,0.0,0.0,300.0,0.0
