seed,agent,K,F,T,stakes,structure,total_reward,total_penalty,utility,cognitive_cost,cost_adjusted_utility,dual_picks,switches
2,Network-Full,200,5,80,0.75,structured,47.31551886065141,0.5691672501361326,46.746351610515276,1.72,45.02635161051528,0.0,0.0
2,Network-NoTest,200,5,80,0.75,structured,34.90331259386236,0.00010145146198606292,34.90321114240037,1.756,33.14721114240037,0.0,0.0
2,Network-NoUpdate,200,5,80,0.75,structured,54.32046281670128,0.0033967843711394316,54.31706603233014,1.7469999999999999,52.57006603233014,0.0,0.0
2,Dot,200,5,80,1.0,structured,-0.8769102587513884,24.815790886690788,-25.692701145442175,0.09,-25.782701145442175,9.0,0.0
2,Linear,200,5,80,1.0,structured,86.23778982567836,3168.7995178398455,-3082.5617280141673,18.609,-3101.1707280141673,61.0,0.0
2,Network-Full,200,5,80,1.0,structured,63.119496956493485,0.9086056213508872,62.2108913351426,1.774,60.4368913351426,17.0,0.0
2,Network-NoTest,200,5,80,1.0,structured,60.72837201378693,1.0721394465528353,59.6562325672341,1.72,57.9362325672341,17.0,0.0
2,Network-NoUpdate,200,5,80,1.0,structured,54.7686036756732,0.14529665520043583,54.623307020472765,1.729,52.894307020472766,15.0,0.0
3,Dot,50,5,80,0.0,structured,5.237807667154947,0.0,5.237807667154947,0.09,5.1478076671549475,0.0,0.0
3,Linear,50,5,80,0.0,structured,138.86350137485607,0.0,138.86350137485607,5.351,133.51250137485607,0.0,0.0
3,Network-Full,50,5,80,0.0,structured,117.40739937253535,0.0,117.40739937253535,1.738,115.66939937253535,0.0,0.0
3,Network-NoTest,50,5,80,0.0,structured,124.68416508612022,0.0,124.68416508612022,1.756,122.92816508612022,0.0,0.0
3,Network-NoUpdate,50,5,80,0.0,structured,123.40905875757647,0.0,123.40905875757647,1.729,121.68005875757648,0.0,0.0
3,Dot,50,5,80,0.25,structured,3.0389665371585415,0.8897187251307662,2.149247812027775,0.09,2.0592478120277753,0.0,0.0
3,Linear,50,5,80,0.25,structured,92.35984216931608,258.46075662782897,-166.10091445851288,5.008,-171.10891445851288,0.0,0.0
3,Network-Full,50,5,80,0.25,structured,149.1028719608862,0.1733655726322233,148.92950638825397,1.711,147.21850638825396,34.0,0.0
3,Network-NoTest,50,5,80,0.25,structured,18.541320576371835,1.3708098596195595,17.170510716752275,1.7469999999999999,15.423510716752276,0.0,0.0
3,Network-NoUpdate,50,5,80,0.25,structured,131.36382635771275,0.0009144229214750835,131.36291193479127,1.729,129.63391193479126,31.0,0.0
3,Dot,50,5,80,0.5,structured,12.297824484318054,8.78132118685536,3.5165032974626946,0.09,3.4265032974626948,1.0,0.0
3,Linear,50,5,80,0.5,structured,-29.86578399293717,952.5628030319822,-982.4285870249194,5.057,-987.4855870249194,0.0,0.0
3,Network-Full,50,5,80,0.5,structured,80.99010040968382,0.5083937077141278,80.48170670196969,1.7469999999999999,78.73470670196969,17.0,0.0
3,Network-NoTest,50,5,80,0.5,structured,70.34350381821453,0.807139339674122,69.5363644785404,1.729,67.8073644785404,14.0,0.0
3,Network-NoUpdate,50,5,80,0.5,structured,84.5021772261092,2.915149876024246,81.58702735008495,1.711,79.87602735008495,17.0,0.0
3,Dot,50,5,80,0.75,structured,2.410898225708699,18.542519906889684,-16.131621681180984,0.09,-16.221621681180984,7.0,0.0
3,Linear,50,5,80,0.75,structured,-2.412360133925117,943.579876299769,-945.9922364336941,5.155,-951.147236433694,6.0,0.0
3,Network-Full,50,5,80,0.75,structured,42.426423419706666,0.14179312847348868,42.28463029123318,1.72,40.56463029123318,16.0,0.0
