agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,dual_rate_mean,dual_rate_std,dual_rate_cond_mean,dual_rate_cond_std,E_abs_mean,expansions_mean,contractions_mean,revisions_mean,contract_evals_mean,steps_factor_mean,steps_tabular_mean
Network-NoContract,recovery,1.0,50,134.347956740123,108.1934684274599,0.3611818490457015,0.44742776176941756,133.98677489107732,108.21232521098197,29.17297,29.033616852964553,104.81380489107731,101.54728699866054,18.68,0.062266666666666665,0.1063461936641187,0.07083106732149728,0.12663461297456802,0.4919030179537949,0.39,0.0,0.39,0.0,217.06,82.94
Network-NoContract,recovery,1.0,200,123.56445391213727,88.17291779313314,0.38562764329490035,0.5476211844598812,123.17882626884237,88.13153933476023,38.83108,44.94863333990088,84.34774626884237,94.52281380155632,14.68,0.048933333333333336,0.08143477694218174,0.04827086298540422,0.11046416698577596,0.49741487386813715,0.35,0.0,0.35,0.0,225.14,74.86
Network-NoTest,recovery,0.0,50,179.078513328658,103.28109797949612,0.0,0.0,179.078513328658,103.28109797949612,6.0832299999999995,0.04128610571672414,172.99528332865802,103.28215648905974,0.0,0.0,0.0,0.0,0.0,97.70096237807658,0.0,0.0,0.0,0.0,300.0,0.0
Network-NoTest,recovery,0.0,200,166.23548699802387,95.81879669732537,0.0,0.0,166.23548699802387,95.81879669732537,6.09264,0.030431084586174606,160.14284699802386,95.8194169958767,0.0,0.0,0.0,0.0,0.0,93.63562306265467,0.0,0.0,0.0,0.0,300.0,0.0
Network-NoTest,recovery,1.0,50,123.35050626033663,113.9542007154086,0.9489281132497696,5.417979140152507,122.40157814708685,114.31604922496578,6.08001,0.050633660501267136,116.32156814708685,114.3244416640237,21.23,0.07076666666666666,0.11966268997265896,0.08067629066261778,0.1877260245069872,0.5417118386321841,0.0,0.0,0.0,0.0,300.0,0.0
Network-NoTest,recovery,1.0,200,105.58423187110606,88.48331610925618,0.36309008775802937,0.41801250213235214,105.22114178334802,88.53303483598314,6.09255,0.03160372532701576,99.12859178334801,88.53443187302516,13.71,0.045700000000000005,0.054509948226610774,0.04600126587678998,0.10998281440099324,0.4488871620462178,0.0,0.0,0.0,0.0,300.0,0.0
Network-NoUpdate,recovery,0.0,50,194.63854092640344,98.17182107565523,0.0,0.0,194.63854092640344,98.17182107565523,6.08106,0.05543288233931592,188.55748092640343,98.17007700442626,0.0,0.0,0.0,0.0,0.0,97.26040021408889,0.0,0.0,0.0,0.0,300.0,0.0
Network-NoUpdate,recovery,0.0,200,157.37952659606438,126.31589403004102,0.0,0.0,157.37952659606438,126.31589403004102,6.09111,0.03259574707339492,151.2884165960644,126.31797445996604,0.0,0.0,0.0,0.0,0.0,92.67975260684308,0.0,0.0,0.0,0.0,300.0,0.0
Network-NoUpdate,recovery,1.0,50,117.14034285174193,105.07849269801598,0.42406358391966065,0.6801857738840087,116.71627926782229,105.01956633816614,6.077920000000001,0.05900140042850903,110.63835926782227,105.02143262649109,18.11,0.06036666666666667,0.11499562769222023,0.06736366605100373,0.16770417523722225,0.49943488461848046,0.0,0.0,0.0,0.0,300.0,0.0
Network-NoUpdate,recovery,1.0,200,112.14274327239798,88.58743516133589,0.3902294021623758,0.4602660499877104,111.7525138702356,88.61401973276857,6.09246,0.028166324186549692,105.6600538702356,88.6100375606137,13.81,0.046033333333333336,0.0636606727659596,0.04633814049688886,0.11233872915321946,0.45600726680685716,0.0,0.0,0.0,0.0,300.0,0.0
RW-Feature,recovery,0.0,50,214.83059595217475,93.0166959172811,0.0,0.0,214.83059595217475,93.0166959172811,4.42479,0.047976066213195695,210.40580595217472,93.02180088493395,0.0,0.0,0.0,0.0,0.0,86.97091186308364,0.0,0.0,0.0,0.0,300.0,0.0
RW-Feature,recovery,0.0,200,172.68180264709537,97.59296518511572,0.0,0.0,172.68180264709537,97.59296518511572,4.42724,0.0362383021878033,168.25456264709533,97.59402268652717,0.0,0.0,0.0,0.0,0.0,84.0265751802143,0.0,0.0,0.0,0.0,300.0,0.0
RW-Feature,recovery,1.0,50,246.47116795707427,110.88797080453136,49887.43176100156,64749.512590272374,-49640.96059304448,64733.60942729089,4.4185,0.06521952053324101,-49645.37909304448,64733.609097575376,9.67,0.032233333333333336,0.07764932394050515,0.031857773810955024,0.07677268261836606,88.9660028074041,0.0,0.0,0.0,0.0,300.0,0.0
RW-Feature,recovery,1.0,200,199.33333544602206,102.32715108230575,38347.14401003578,46961.19298734846,-38147.81067458976,46963.72133190415,4.43237,0.032619835014353435,-38152.24304458976,46963.72505195485,11.86,0.03953333333333333,0.05227703978697425,0.039461337945121897,0.05274799619289011,72.71873214452651,0.0,0.0,0.0,0.0,300.0,0.0
Thompson-Factor,recovery,0.0,50,166.6081787084248,119.36319767274551,0.0,0.0,166.6081787084248,119.36319767274551,4.6421600000000005,0.043455473554181945,161.96601870842477,119.36407063379626,0.0,0.0,0.0,0.0,0.0,111.25280164005602,0.0,0.0,0.0,0.0,300.0,0.0
Thompson-Factor,recovery,0.0,200,144.75743086153994,123.32590782572628,0.0,0.0,144.75743086153994,123.32590782572628,4.65,0.0,140.10743086153994,123.32590782572628,0.0,0.0,0.0,0.0,0.0,86.07220010378342,0.0,0.0,0.0,0.0,300.0,0.0
